base_error,width,power,trial,reson_factor,eff_error,mem_stab,cycle_score,T_int,I,success,fail_reason
0.06,0.05,4.0,2747,0.024540754516315,0.06599997725849588,0.812668230692719,1.4589900515888192,0.38746376858392795,3.021621863870166,0,Genetic
0.06,0.05,4.0,2748,0.5409705911940943,0.06063014986211922,0.8002509174233796,1.463559481748122,0.39304287364823315,2.970465370875134,0,Genetic
0.06,0.05,4.0,2749,0.7433428175501157,0.04685637674892994,0.8733708577021457,1.583557713318487,0.38737856384014235,3.32813414960696,1,None
0.06,0.05,4.0,2750,0.9595426639736279,0.012847377304295278,0.8666258815037509,1.5747592688379473,0.3681175498584699,3.488944833927178,1,None
0.06,0.05,4.0,2751,4.383938861623865e-06,0.066,0.8873303102800321,1.6089552044420377,0.3795920372696762,3.475779700058392,0,Genetic
0.06,0.05,4.0,2752,3.643509111775658e-11,0.066,0.864547384321231,1.579989401355563,0.3899365502138587,3.297241077782705,0,Genetic
0.06,0.05,4.0,2753,3.129542898620508e-12,0.066,0.9086752986845856,1.6627136791889865,0.3900255924801844,3.514959220428198,0,Genetic
0.06,0.05,4.0,2754,0.999774736492419,0.003356477000807654,0.8459619480290392,1.5304656593041914,0.376882944606568,3.286758017291387,1,None
0.06,0.05,4.0,2755,5.2240765302024486e-08,0.066,0.7859479232796776,1.431560135097256,0.3796634765203739,3.0044413924163185,0,Genetic
0.06,0.05,4.0,2756,0.8795811723085537,0.028470633011822996,0.8746968117084086,1.5908042191346443,0.39320054279624866,3.3083488964165157,1,None
0.06,0.05,4.0,2757,0.2622946947455919,0.06570322619368209,0.8661254456090454,1.581678408396804,0.38717937455012996,3.3171686544311654,0,Genetic
0.06,0.05,4.0,2758,2.0538159913202606e-10,0.066,0.9393124185898635,1.686466421545264,0.37508845650112077,3.710596176379538,0,Genetic
0.06,0.05,4.0,2759,7.230769115656061e-07,0.066,0.8833240324365937,1.6226303369392021,0.36575004882493517,3.64487330724134,0,Genetic
0.06,0.05,4.0,2760,5.432522515224725e-09,0.066,0.8375695470490847,1.539643322124792,0.3846578671156733,3.2442510110740725,0,Genetic
0.06,0.05,4.0,2761,6.37279001969857e-05,0.066,0.8608364938649494,1.570408692411031,0.39586742314459034,3.227479840689892,0,Genetic
